Velocity,Angle,Time,Range,Height,,,,,,,,,
10,0,0,0,0,,,,,,,,,
10,10,0.35,3.49,0.15,,,,,,,,,
10,20,0.7,6.55,0.6,,,,,,,,,
10,30,1.02,8.83,1.27,,,,,,,,,
10,40,1.31,10.04,2.11,,,,,,,,,
10,45,1.44,10.19,2.55,,,,,,,,,
10,50,1.56,10.04,2.99,,,,,,,,,
10,60,1.77,8.83,3.82,,,,,,,,,
10,70,1.92,6.55,4.5,,,,,,,,,
10,80,2.01,3.49,4.94,,,,,,,,,
10,90,2.04,0,5.1,,,,,,,,,
20,0,0,0,0,,,,,,,,,
20,10,0.71,13.95,0.61,,,,,,,,,
20,20,1.39,26.21,2.38,,,,,,,,,
20,30,2.04,35.31,5.1,,,,,,,,,
20,40,2.62,40.16,8.42,,,,,,,,,
20,45,2.88,40.77,10.19,,,,,,,,,
20,50,3.12,40.16,11.96,,,,,,,,,
20,60,3.53,35.31,15.29,,,,,,,,,
20,70,3.83,26.21,18,,,,,,,,,
20,80,4.02,13.95,19.77,,,,,,,,,
20,90,4.08,0,20.39,,,,,,,,,
40,0,0,0,0,,,,,,,,,
40,10,1.42,55.78,2.46,,,,,,,,,
40,20,2.79,104.84,9.54,,,,,,,,,
40,30,4.08,141.25,20.39,,,,,,,,,
40,40,5.24,160.62,33.7,,,,,,,,,
40,45,5.77,163.1,40.77,,,,,,,,,
40,50,6.25,160.62,33.69,,,,,,,,,
40,60,7.06,141.25,61.16,,,,,,,,,
40,70,7.66,104.84,72.01,,,,,,,,,
40,80,8.03,55.78,79.09,,,,,,,,,
40,90,8.15,0,81.55,,,,,,,,,
40,45,7.21,254.84,63.71,,,,,,,,,
50,0,0,0,0,,,,,,,,,
50,10,1.77,87.16,3.84,,,,,,,,,
50,20,3.49,163.81,14.91,,,,,,,,,
50,30,5.1,220.7,31.86,,,,,,,,,
50,40,6.55,250.97,52.65,,,,,,,,,
50,50,7.81,250.97,74.77,,,,,,,,,
50,60,8.83,220.7,95.57,,,,,,,,,
50,70,9.58,163.81,112.52,,,,,,,,,
50,80,10.04,87.16,123.58,,,,,,,,,
50,90,10.19,0,127.42,,,,,,,,,
